match_id,series_id,series_name,host_country,match_type,match_desc,match_date,venue_name,venue_city,venue_country,venue_capacity,team1,team2,winner_team,victory_margin,victory_type,toss_winner,toss_decision,player_id,player_name,country,playing_role,batting_style,bowling_style,runs_scored,balls_faced,batting_position,centuries,wickets_taken,overs_bowled,economy_rate,catches,stumpings
M001,S001,Border-Gavaskar Trophy,India,Test,Australia vs India Test,14-06-2024,Eden Gardens,Kolkata,India,66000,Australia,India,Australia,23,runs,Australia,Bat,P005,Kane Williamson,New Zealand,Batsman,Right-hand bat,Right-arm offbreak,113,100,11,1,0,0,0,2,0
M001,S001,Border-Gavaskar Trophy,India,Test,Australia vs India Test,14-06-2024,Eden Gardens,Kolkata,India,66000,Australia,India,Australia,23,runs,Australia,Bat,P006,Shakib Al Hasan,Bangladesh,All-rounder,Left-hand bat,Left-arm orthodox,66,105,4,0,1,5,7.8,2,0
M001,S001,Border-Gavaskar Trophy,India,Test,Australia vs India Test,14-06-2024,Eden Gardens,Kolkata,India,66000,Australia,India,Australia,23,runs,Australia,Bat,P002,Rohit Sharma,India,Batsman,Right-hand bat,None,7,10,8,0,0,0,0,0,0
M001,S001,Border-Gavaskar Trophy,India,Test,Australia vs India Test,14-06-2024,Eden Gardens,Kolkata,India,66000,Australia,India,Australia,23,runs,Australia,Bat,P003,Ben Stokes,England,All-rounder,Left-hand bat,Right-arm fast-medium,80,77,3,0,1,2,7.6,2,0
M001,S001,Border-Gavaskar Trophy,India,Test,Australia vs India Test,14-06-2024,Eden Gardens,Kolkata,India,66000,Australia,India,Australia,23,runs,Australia,Bat,P005,Kane Williamson,New Zealand,Batsman,Right-hand bat,Right-arm offbreak,103,9,6,1,0,0,0,2,0
M002,S001,Border-Gavaskar Trophy,India,Test,Bangladesh vs Australia Test,05-07-2023,Eden Gardens,Kolkata,India,66000,Bangladesh,Australia,Australia,119,wickets,Bangladesh,Bat,P007,MS Dhoni,India,Wicket-keeper,Right-hand bat,None,45,59,9,0,0,0,0,2,1
M002,S001,Border-Gavaskar Trophy,India,Test,Bangladesh vs Australia Test,05-07-2023,Eden Gardens,Kolkata,India,66000,Bangladesh,Australia,Australia,119,wickets,Bangladesh,Bat,P005,Kane Williamson,New Zealand,Batsman,Right-hand bat,Right-arm offbreak,125,16,9,1,0,0,0,2,0
M002,S001,Border-Gavaskar Trophy,India,Test,Bangladesh vs Australia Test,05-07-2023,Eden Gardens,Kolkata,India,66000,Bangladesh,Australia,Australia,119,wickets,Bangladesh,Bat,P001,Virat Kohli,India,Batsman,Right-hand bat,None,64,21,9,0,0,0,0,0,0
M002,S001,Border-Gavaskar Trophy,India,Test,Bangladesh vs Australia Test,05-07-2023,Eden Gardens,Kolkata,India,66000,Bangladesh,Australia,Australia,119,wickets,Bangladesh,Bat,P005,Kane Williamson,New Zealand,Batsman,Right-hand bat,Right-arm offbreak,95,116,7,0,0,0,0,0,0
M002,S001,Border-Gavaskar Trophy,India,Test,Bangladesh vs Australia Test,05-07-2023,Eden Gardens,Kolkata,India,66000,Bangladesh,Australia,Australia,119,wickets,Bangladesh,Bat,P008,Pat Cummins,Australia,Bowler,Right-hand bat,Right-arm fast,28,66,11,0,0,0,0,1,0
M003,S002,World Cup 2023,India,ODI,Australia vs New Zealand ODI,15-07-2024,Eden Gardens,Kolkata,India,66000,Australia,New Zealand,Australia,5,wickets,New Zealand,Bat,P006,Shakib Al Hasan,Bangladesh,All-rounder,Left-hand bat,Left-arm orthodox,29,87,4,0,3,6,6.6,2,0
